방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류
2026-01-01,23:37~00:37,전체,60,67,패션,여성의류,하의,팬츠,부츠컷,블루핏,[25FW최신상] 블루핏 NEW 코듀로이 팬츠 3종,89900,89900,카드 5%,20066527,https://img.shinsegaetvshopping.com/goods/527/20066527_l_20251023092347.jpg,https://www.shinsegaetvshopping.com/display/detail/20066527,PB
2026-01-02,00:37~01:38,전체,61,32,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,비어랩,(방송에서만 30％ 세일) 비어랩 맥주효모 비오틴 플러스 18박스 (36주분),179200,179200,카드 5%,20068792,https://img.shinsegaetvshopping.com/goods/792/20068792_l_20250929161605.jpg,https://www.shinsegaetvshopping.com/display/detail/20068792,건강식품
2026-01-02,01:38~02:38,전체,60,1,패션잡화,언더웨어,여성,내복,세트,여유,여유(yeoyoo) 모달 웜기모 동내의 2세트(여성),39900,39900,,20068821,https://img.shinsegaetvshopping.com/goods/821/20068821_s_20251219091312.jpg,https://www.shinsegaetvshopping.com/display/detail/20068821,PB
2026-01-02,02:38~03:39,전체,61,1,생활용품,생활용품,생활잡화류,구두/신발관련용품,기타 구두/신발관련용품,에어핏솔,[선택1 남녀] (방송에서만 이가격) 에어핏솔 에어백 자석 인솔 4세트 (남성용 2세트 + 여성용 2세트),72700,72700,카드 5%,20070219,https://img.shinsegaetvshopping.com/goods/219/20070219_s_20251127135313.jpg,https://www.shinsegaetvshopping.com/display/detail/20070219,생활용품
2026-01-02,03:39~04:19,전체,40,1,가구/인테리어,침구단품,요,담요,대형담요,메종노아,[대형]메종노아 디럭스 담요 3종 모두 (150*200/로얄로즈+메종크림+미드나잇가든),79900,79900,카드 5%,20068815,https://img.shinsegaetvshopping.com/goods/815/20068815_s_20250929170212.jpg,https://www.shinsegaetvshopping.com/display/detail/20068815,침구
2026-01-02,04:19~04:30,전체,11,1,가공식품,조미료,장류,낫토,식사용낫토,참좋은콩,맑은물에 김석원 낫또 45.5g x 34개,32900,32900,,10193559,https://img.shinsegaetvshopping.com/goods/559/10193559_s_20200429132104.jpg,https://www.shinsegaetvshopping.com/display/detail/10193559,일반식품
2026-01-02,04:30~05:30,전체,60,1,패션,여성의류,아우터,점퍼,다운/패딩,펠틱스,25FW 펠틱스 라이트업 경량패딩 베스트 2종 (여성)[F513W],49900,49900,,20067780,https://img.shinsegaetvshopping.com/goods/780/20067780_l_20250909105329.jpg,https://www.shinsegaetvshopping.com/display/detail/20067780,여성의류
2026-01-02,05:30~06:30,전체,60,38,패션,여성의류,상의,니트,긴팔,디아레,"[런칭가 169,000원]디아레 화이트캐시100 플라워 인타샤 니트 1종",169000,169000,카드 5%,20068971,https://img.shinsegaetvshopping.com/goods/971/20068971_l_20251002122444.jpg,https://www.shinsegaetvshopping.com/display/detail/20068971,여성의류
2026-01-02,06:30~07:31,전체,61,73,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,닥터린_콘드로이친,(K 50％세일) 닥터린 콘드로이친 1200 + MBP +K2 (30정X12박스),164500,164500,카드 5%,20061718,https://img.shinsegaetvshopping.com/goods/718/20061718_s_20240930104451.jpg,https://www.shinsegaetvshopping.com/display/detail/20061718,건강식품
2026-01-02,07:31~08:31,전체,60,73,패션,남성캐쥬얼,아우터,점퍼,패딩,펠틱스,25FW 펠틱스 신클라우드 롱패딩 (남여 공용),69900,69900,카드 5%,20069866,https://img.shinsegaetvshopping.com/goods/866/20069866_l_20251112152308.jpg,https://www.shinsegaetvshopping.com/display/detail/20069866,캐쥬얼남성
2026-01-02,08:31~09:32,전체,61,81,뷰티,기초화장품,클렌징,페이셜클렌징,클렌징젤,마미케어,[방송에서만 최대용량] APPLECIDER VINEGAR 애사비 클렌저 세트 (200ml*6개+2ml 7매),79900,79900,카드 5%,20067790,https://img.shinsegaetvshopping.com/goods/790/20067790_s_20250828134224.jpg,https://www.shinsegaetvshopping.com/display/detail/20067790,뷰티
2026-01-02,09:32~10:32,IPTV,60,40,무형서비스,렌탈및기타 서비스,교육,아동학습,아동학습,메가스터디,[교육] 메가스터디교육 엘리하이 초등교육 (방송에서만! 14일 무료체험-겨울방학),0,0,,20070267,https://img.shinsegaetvshopping.com/goods/267/20070267_s_20251203084510.jpg,https://www.shinsegaetvshopping.com/display/detail/20070267,렌탈
2026-01-02,09:32~10:32,CATV,60,17,뷰티,기초화장품,기초케어,크림/젤,크림,마미케어,[최대용량찬스] 마미케어 율무영양크림 기본세트 (크림 50g*4개+상품평 시 15g),59900,59900,카드 5%,20068484,https://img.shinsegaetvshopping.com/goods/484/20068484_s_20251125152604.jpg,https://www.shinsegaetvshopping.com/display/detail/20068484,뷰티
2026-01-02,10:32~11:32,전체,60,52,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,비어랩,(방송에서만 30％ 세일) 비어랩 맥주효모 비오틴 플러스 18박스 (36주분),179200,179200,카드 5%,20068792,https://img.shinsegaetvshopping.com/goods/792/20068792_l_20250929161605.jpg,https://www.shinsegaetvshopping.com/display/detail/20068792,건강식품
2026-01-02,11:32~12:33,전체,61,59,패션,레포츠의류,골프의류,아우터,다운/패딩,아이그너,아이그너 후드 트리밍 롱다운 점퍼,399000,399000,카드 5%,20069425,https://img.shinsegaetvshopping.com/goods/425/20069425_s_20251106090901.jpg,https://www.shinsegaetvshopping.com/display/detail/20069425,레포츠
2026-01-02,12:33~13:33,전체,60,56,패션,여성의류,아우터,점퍼,다운/패딩,지베르니,25FW 최신상 ! 지베르니 리버시블 퍼패딩 점퍼,39900,39900,,20070461,https://img.shinsegaetvshopping.com/goods/461/20070461_l_20251229134933.jpg,https://www.shinsegaetvshopping.com/display/detail/20070461,여성의류
2026-01-02,13:33~14:33,전체,60,41,패션,여성의류,아우터,가디건,라운드,블루핏,"[론칭가69,000원→1만원↓] 블루핏 울100 베스트 가디건",59000,59000,카드 5%,20066667,https://img.shinsegaetvshopping.com/goods/667/20066667_l_20251017133005.jpg,https://www.shinsegaetvshopping.com/display/detail/20066667,PB
